# X, Y, Xs, Ys, Zs, Xv, Yv, Zv
-8.072641014998626074e-01,-6.123109272487389232e-01,9.083629807311195403e-01,2.150176002144882914e-01,-3.940103146287788904e-01,-1.265793441655890472e+00,6.045688534682282622e+00,5.442471233928284358e-01
-7.793836049875754179e-01,-6.466971090185302806e-01,8.984517211547943250e-01,2.579513834640667636e-01,-3.897454849761772255e-01,-1.510756198607532630e+00,5.981563336216705551e+00,6.505064886663274315e-01
-7.499940315630172494e-01,-6.798310323919191100e-01,8.868008030423251142e-01,3.003856237815343833e-01,-3.847259969537756286e-01,-1.753138742662649685e+00,5.905756775783820522e+00,7.556559661739029599e-01
-7.191501003460429864e-01,-7.116467070048895227e-01,8.734302570559245860e-01,3.422374155496640258e-01,-3.789604727088762282e-01,-1.992481272854824903e+00,5.818376274145619753e+00,8.594961143350285937e-01
-6.869095819835341343e-01,-7.420802354934523670e-01,8.583634619149882461e-01,3.834244649926097925e-01,-3.724589865008750000e-01,-2.228325148132017652e+00,5.719550477396920130e+00,9.618279784222626416e-01
-6.533328180391222428e-01,-7.710703370842318938e-01,8.416269468143822152e-01,4.238657675557644944e-01,-3.652329795464748230e-01,-2.460216636303011573e+00,5.609428180855541513e+00,1.062454716842057056e+00
-6.184831835256410226e-01,-7.985579674699607722e-01,8.232506294056503027e-01,4.634810682456148023e-01,-3.572953627950845035e-01,-2.687703711425807107e+00,5.488180120907530934e+00,1.161180211191931155e+00
-5.824263551177466525e-01,-8.244869923847540916e-01,8.032674671686400591e-01,5.021917808879831080e-01,-3.486603664663290303e-01,-2.910341231054474509e+00,5.355996920275911677e+00,1.257811312563673845e+00
-5.452307916979914904e-01,-8.488038367349040048e-01,7.817137216877814154e-01,5.399204674052104913e-01,-3.393436542407847201e-01,-3.127687871680203457e+00,5.213091078603942385e+00,1.352156511306930708e+00
-5.069670970915887143e-01,-8.714579839117017057e-01,7.586286213334132444e-01,5.765915592074500884e-01,-3.293621775514099514e-01,-3.339310220175737420e+00,5.059694996549001900e+00,1.444027712491045001e+00
-4.677084562535185897e-01,-8.924017314607890494e-01,7.340546297980380386e-01,6.121309517794050192e-01,-3.187342917085780325e-01,-3.544780399976986018e+00,4.896063017857359867e+00,1.533239205120653592e+00
-4.275301253255362477e-01,-9.115905577770778700e-01,7.080371634742732567e-01,6.464665521447723329e-01,-3.074796337752280784e-01,-3.743679207938611864e+00,4.722469820409911812e+00,1.619609023429646966e+00
-3.865093803715303755e-01,-9.289831663080904134e-01,6.806245658791389985e-01,6.795283405585975656e-01,-2.956191115244443668e-01,-3.935596476921312536e+00,4.539210510374158680e+00,1.702959104020347780e+00
-3.447255614544766922e-01,-9.445415163439122574e-01,6.518681562298693777e-01,7.112483798510318422e-01,-2.831749245080051880e-01,-4.120131150239731532e+00,4.346601216315763239e+00,1.783115317693011681e+00
-3.022596792364273810e-01,-9.582310300353911181e-01,6.218219820920605212e-01,7.415611689702890086e-01,-2.701704570772208713e-01,-4.296893377083613075e+00,4.144977702148256782e+00,1.859908379027204184e+00
-2.591945373701716737e-01,-9.700205869944759085e-01,5.905429191368402053e-01,7.704035865000439243e-01,-2.566303215928584791e-01,-4.465504247939214189e+00,3.934696298417668991e+00,1.933173730961195602e+00
-2.156144114876570872e-01,-9.798826788867778248e-01,5.580904637646403321e-01,7.977151661504419122e-01,-2.425802687195284801e-01,-4.625597483453060654e+00,3.716132770089481063e+00,2.002752277905522682e+00
-1.716048951660618105e-01,-9.877934809336509359e-01,5.245266325632504945e-01,8.234382265214358343e-01,-2.280471439309502135e-01,-4.776820300295679722e+00,3.489681888402966337e+00,2.068490761487778773e+00
-1.272529284513072567e-01,-9.937328963733637055e-01,4.899160032246154817e-01,8.475178993996065335e-01,-2.130589052720517906e-01,-4.918833699517057845e+00,3.255757948543795077e+00,2.130241885185898187e+00
-8.264654729793718957e-02,-9.976846630195441712e-01,4.543255472295471553e-01,8.699023319960174083e-01,-1.976445509675263668e-01,-5.051313794851368222e+00,3.014793873458198270e+00,2.187864890932089246e+00
